Imagem,Tipo,Gaussiano,PCC1,PCC2,limiar
4,20,,0.7958333492279053,0.6608996539792388,0.25
5,20,,0.846875011920929,0.7344173441734417,0.25
1,Borda,,0.7291666865348816,0.5802469135802469,0.25
2,Borda,,0.7864583134651184,0.648068669527897,0.25
3,Borda,,0.8062499761581421,0.675392670157068,0.25
4,Borda,,0.7677083611488342,0.6509028374892519,0.25
5,Borda,,0.8604166507720947,0.7550274223034735,0.25
1,Centro,,0.800000011920929,0.6710182767624021,0.25
2,Centro,,0.7697916626930237,0.6566005176876618,0.25
3,Centro,,0.8020833134651184,0.6695652173913044,0.25
4,Centro,,0.7833333611488342,0.6623376623376623,0.25
5,Centro,,0.715624988079071,0.5647921760391198,0.25
1,EntreQuadros,,0.831250011920929,0.7112299465240641,0.25
2,EntreQuadros,,0.7385416626930237,0.6509028374892519,0.25
3,EntreQuadros,,0.7760416865348816,0.6410256410256411,0.25
4,EntreQuadros,,0.8104166388511658,0.7422867513611615,0.25
5,EntreQuadros,,0.9020833373069763,0.887905604719764,0.25
1,,10,0.6708333492279053,0.5047021943573667,0.25
2,,10,0.7145833373069763,0.5559157212317666,0.25
3,,10,0.6875,0.6175231676495366,0.25
4,,10,0.7395833134651184,0.6134453781512605,0.25
5,,10,0.7177083492279053,0.5854665565648225,0.25
6,,10,0.7958333492279053,0.7142857142857143,0.25
1,,20,0.6958333253860474,0.5335463258785943,0.25
2,,20,0.7364583611488342,0.5828524319868096,0.25
3,,20,0.6822916865348816,0.5409309791332263,0.25
4,,20,0.721875011920929,0.6856892010535558,0.25
5,,20,0.6833333373069763,0.5372297838270617,0.25
6,,20,0.7833333611488342,0.7142857142857143,0.25
1,,30,0.7416666746139526,0.5894039735099338,0.25
2,,30,0.7072916626930237,0.6053511705685619,0.25
3,,30,0.7489583492279053,0.6608996539792388,0.25
4,,30,0.7083333134651184,0.5508885298869144,0.25
5,,30,0.6666666865348816,0.5,0.25
